Repository,File Name,Class,Start Line,End Line,Displacement,Level
tests,test_utils.py,Simple Tuple,294,294,8,A1
tests,test_utils.py,4 Nested Tuple,301,304,8,A2
tests,test_utils.py,Simple Tuple,316,321,8,A1
tests,test_utils.py,Simple Tuple,331,331,8,A1
tests,test_utils.py,Simple Tuple,351,360,8,A1
tests,test_utils.py,Simple Tuple,379,388,8,A1
tests,test_utils.py,Simple Tuple,398,398,8,A1
tests,test_utils.py,16 Nested Tuple,399,404,8,A2
tests,test_utils.py,2 Nested Tuple,419,422,8,A2
tests,test_utils.py,2 Nested Tuple,423,423,8,A2
tests,test_utils.py,2 Nested Tuple,424,427,8,A2
tests,test_utils.py,2 Nested Tuple,428,428,8,A2
tests,test_utils.py,2 Nested Tuple,429,432,8,A2
tests,test_utils.py,2 Nested Tuple,433,436,8,A2
tests,test_utils.py,2 Nested Tuple,437,437,8,A2
tests,test_utils.py,Simple Tuple,447,451,8,A1
tests,test_utils.py,Simple Tuple,452,456,8,A1
tests,test_utils.py,Simple Tuple,467,471,8,A1
tests,test_utils.py,Simple Tuple,472,476,8,A1
tests,test_utils.py,Simple Tuple,486,486,8,A1
tests,test_utils.py,Simple Tuple,487,487,8,A1
tests,test_utils.py,Simple Tuple,488,488,8,A1
tests,test_utils.py,Simple Tuple,513,513,8,A1
tests,test_utils.py,Simple Tuple,514,514,8,A1
tests,test_utils.py,Simple Tuple,515,515,8,A1
tests,test_utils.py,Simple Tuple,516,516,8,A1
tests,test_utils.py,Simple Tuple,517,517,8,A1
tests,test_utils.py,Simple Tuple,518,518,8,A1
tests,test_utils.py,Simple Tuple,519,519,8,A1
tests,test_utils.py,Simple Tuple,520,520,8,A1
tests,test_utils.py,Simple Tuple,521,521,8,A1
tests,test_utils.py,Simple Tuple,522,522,8,A1
tests,test_utils.py,Simple Tuple,523,523,8,A1
tests,test_utils.py,Simple Tuple,524,524,8,A1
tests,test_utils.py,Simple Tuple,525,525,8,A1
tests,test_utils.py,Simple Tuple,526,526,8,A1
tests,test_utils.py,Simple Tuple,528,528,8,A1
tests,test_utils.py,Simple Tuple,539,539,8,A1
tests,test_utils.py,Simple Tuple,540,540,8,A1
tests,test_utils.py,2 Nested Tuple,550,550,8,A2
tests,test_utils.py,2 Nested Tuple,551,554,8,A2
tests,test_utils.py,2 Nested Tuple,555,558,8,A2
tests,test_utils.py,2 Nested Tuple,559,559,8,A2
tests,test_utils.py,2 Nested Tuple,560,570,8,A2
tests,test_utils.py,2 Nested Tuple,571,581,8,A2
tests,test_utils.py,2 Nested Tuple,582,592,8,A2
tests,test_utils.py,2 Nested Tuple,593,603,8,A2
tests,test_utils.py,2 Nested Tuple,604,604,8,A2
tests,test_utils.py,Simple Tuple,614,614,8,A1
tests,test_utils.py,Simple Tuple,615,618,8,A1
tests,test_utils.py,Simple Tuple,619,619,8,A1
tests,test_utils.py,Simple Tuple,629,629,8,A1
tests,test_utils.py,Simple Tuple,630,630,8,A1
tests,test_utils.py,Simple Tuple,631,631,8,A1
tests,test_utils.py,Simple Tuple,632,632,8,A1
tests,test_utils.py,Simple Tuple,633,633,8,A1
tests,test_utils.py,Simple Tuple,634,634,8,A1
tests,test_utils.py,Simple Tuple,648,651,8,A1
tests,test_utils.py,Simple Tuple,652,652,8,A1
tests,test_utils.py,Simple Tuple,653,653,8,A1
tests,test_utils.py,Simple Tuple,654,660,8,A1
tests,test_utils.py,Simple Tuple,661,661,8,A1
tests,test_utils.py,Simple Tuple,671,671,8,A1
tests,test_utils.py,Simple Tuple,672,672,8,A1
tests,test_utils.py,Simple Tuple,673,673,8,A1
tests,test_utils.py,Simple Tuple,674,677,8,A1
tests,test_utils.py,Simple Tuple,678,678,8,A1
tests,test_utils.py,Simple Tuple,688,688,8,A1
tests,test_utils.py,Simple Tuple,689,689,8,A1
tests,test_utils.py,Simple Tuple,690,690,8,A1
tests,test_utils.py,Simple Tuple,700,700,8,A1
tests,test_utils.py,Simple Tuple,701,701,8,A1
tests,test_utils.py,Simple Tuple,702,702,8,A1
tests,test_utils.py,Simple Tuple,703,703,8,A1
tests,test_utils.py,Simple Tuple,704,704,8,A1
tests,test_utils.py,Simple Tuple,705,705,8,A1
tests,test_utils.py,Simple Tuple,715,715,8,A1
tests,test_utils.py,Simple Tuple,716,716,8,A1
tests,test_utils.py,Simple Tuple,717,717,8,A1
tests,test_utils.py,Simple Tuple,718,718,8,A1
tests,test_utils.py,Simple Tuple,719,719,8,A1
tests,test_utils.py,Simple Tuple,720,720,8,A1
tests,test_utils.py,Simple Tuple,721,721,8,A1
tests,test_utils.py,Simple Tuple,722,722,8,A1
tests,test_utils.py,Simple Tuple,723,723,8,A1
tests,test_utils.py,Simple Tuple,724,724,8,A1
tests,test_utils.py,Simple Tuple,745,745,8,A1
tests,test_utils.py,Simple Tuple,746,746,8,A1
tests,test_utils.py,Simple Tuple,747,747,8,A1
tests,test_utils.py,Simple Tuple,748,748,8,A1
tests,test_utils.py,Simple Tuple,749,749,8,A1
tests,test_utils.py,Simple Tuple,750,750,8,A1
tests,test_utils.py,Simple Tuple,751,751,8,A1
tests,test_utils.py,Simple Tuple,752,752,8,A1
tests,test_utils.py,Simple Tuple,784,784,8,A1
tests,test_utils.py,Simple Tuple,785,785,8,A1
tests,test_utils.py,Simple Tuple,786,786,8,A1
tests,test_utils.py,Simple Tuple,796,796,8,A1
tests,test_utils.py,Simple Tuple,797,797,8,A1
tests,test_utils.py,Simple Tuple,798,798,8,A1
tests,test_utils.py,Simple Tuple,799,799,8,A1
tests,test_utils.py,Simple Tuple,800,800,8,A1
tests,test_utils.py,Simple Tuple,801,801,8,A1
tests,test_utils.py,Simple Tuple,802,802,8,A1
tests,test_utils.py,Simple Tuple,803,803,8,A1
tests,test_utils.py,Simple Tuple,819,819,8,A1
tests,test_utils.py,Simple Tuple,820,820,8,A1
tests,test_utils.py,Simple Tuple,821,821,8,A1
tests,test_utils.py,Simple Tuple,822,822,8,A1
tests,test_utils.py,Simple Tuple,823,823,8,A1
tests,test_utils.py,Simple Tuple,824,824,8,A1
tests,test_utils.py,Simple Tuple,825,825,8,A1
tests,test_utils.py,Simple Tuple,826,826,8,A1
tests,test_utils.py,Simple Tuple,827,827,8,A1
tests,test_utils.py,Simple Tuple,828,828,8,A1
tests,test_utils.py,Simple Tuple,904,904,8,A1
tests,test_utils.py,Simple Tuple,905,905,8,A1
tests,test_utils.py,Simple Tuple,906,906,8,A1
tests,test_utils.py,Simple Tuple,907,907,8,A1
tests,test_utils.py,Simple Tuple,53,53,12,A1
tests,test_utils.py,Simple Tuple,54,54,12,A1
tests,test_utils.py,Simple Tuple,103,103,12,A1
tests,test_utils.py,Simple Tuple,104,104,12,A1
tests,test_utils.py,Simple Tuple,159,159,12,A1
tests,test_utils.py,2 Nested Tuple,160,160,12,A2
tests,test_utils.py,Simple Tuple,161,161,12,A1
tests,test_utils.py,Simple Tuple,162,162,12,A1
tests,test_utils.py,Simple Tuple,177,177,12,A1
tests,test_utils.py,Simple Tuple,178,178,12,A1
tests,test_utils.py,Simple Tuple,179,179,12,A1
tests,test_utils.py,Simple Tuple,180,180,12,A1
tests,test_utils.py,Simple Tuple,181,181,12,A1
tests,test_utils.py,Simple Tuple,302,302,12,A1
tests,test_utils.py,Simple Tuple,303,303,12,A1
tests,test_utils.py,Simple Tuple,400,400,12,A1
tests,test_utils.py,Simple Tuple,401,401,12,A1
tests,test_utils.py,Simple Tuple,402,402,12,A1
tests,test_utils.py,Simple Tuple,403,403,12,A1
tests,test_utils.py,Simple Tuple,421,421,12,A1
tests,test_utils.py,Simple Tuple,423,423,60,A1
tests,test_utils.py,Simple Tuple,426,426,12,A1
tests,test_utils.py,Simple Tuple,428,428,65,A1
tests,test_utils.py,Simple Tuple,431,431,12,A1
tests,test_utils.py,Simple Tuple,435,435,12,A1
tests,test_utils.py,Simple Tuple,437,437,50,A1
tests,test_utils.py,Simple Tuple,550,550,28,A1
tests,test_utils.py,Simple Tuple,553,553,12,A1
tests,test_utils.py,Simple Tuple,557,557,12,A1
tests,test_utils.py,Simple Tuple,559,559,23,A1
tests,test_utils.py,Simple Tuple,562,569,12,A1
tests,test_utils.py,Simple Tuple,573,580,12,A1
tests,test_utils.py,Simple Tuple,584,591,12,A1
tests,test_utils.py,Simple Tuple,595,602,12,A1
tests,test_utils.py,Simple Tuple,604,604,34,A1
tests,test_utils.py,1 Nested Tuple,160,160,13,A2
tests,test_utils.py,Simple Tuple,307,307,27,A1
tests,test_utils.py,Simple Tuple,159,159,14,A1
tests,test_utils.py,Simple Tuple,159,159,32,A1
tests,test_utils.py,Simple Tuple,160,160,14,A1
tests,test_utils.py,Simple Tuple,160,160,33,A1
tests,test_utils.py,Simple Tuple,161,161,30,A1
tests,test_utils.py,Simple Tuple,294,294,25,A1
tests,test_utils.py,Simple Dictionary,495,498,15,A2
tests,test_utils.py,Simple Dictionary,499,502,14,A2
tests,test_utils.py,Simple Dictionary,503,507,16,A2
tests,test_utils.py,Simple Dictionary,775,775,17,A2
tests,test_utils.py,Simple Dictionary,213,213,58,A2
tests,test_utils.py,Simple Dictionary,224,224,58,A2
tests,test_utils.py,Simple Dictionary,236,236,62,A2
tests,test_utils.py,Simple Dictionary,253,253,62,A2
tests,test_utils.py,Simple Dictionary,539,539,43,A2
tests,test_utils.py,Simple Dictionary,540,540,30,A2
tests,test_utils.py,Simple Dictionary,161,161,13,A2
tests,test_utils.py,Simple Dictionary,307,307,38,A2
tests,test_utils.py,Simple Dictionary,550,550,48,A2
tests,test_utils.py,Simple Dictionary,553,553,33,A2
tests,test_utils.py,Simple Dictionary,557,557,33,A2
tests,test_utils.py,Simple Dictionary,559,559,38,A2
tests,test_utils.py,Simple Dictionary,564,568,16,A2
tests,test_utils.py,Simple Dictionary,575,579,16,A2
tests,test_utils.py,Simple Dictionary,586,590,16,A2
tests,test_utils.py,Simple Dictionary,597,601,16,A2
tests,test_utils.py,Simple Dictionary,604,604,55,A2
tests,test_utils.py,Simple Dictionary,616,616,32,A2
tests,test_utils.py,Simple Dictionary,619,619,29,A2
tests,test_utils.py,Simple Dictionary,650,650,13,A2
tests,test_utils.py,Simple Dictionary,652,652,36,A2
tests,test_utils.py,Simple Dictionary,653,653,37,A2
tests,test_utils.py,Simple Dictionary,657,657,16,A2
tests,test_utils.py,Simple Dictionary,658,658,16,A2
tests,test_utils.py,Simple Dictionary,294,294,36,A2
tests,test_utils.py,Files --> 'write' call function,68,68,8,A2
tests,test_utils.py,Files --> 'write' call function,109,109,8,A2
tests,test_utils.py,Files --> 'write' call function,116,116,8,A2
tests,test_utils.py,Files --> 'read' call function,141,141,8,A2
tests,test_utils.py,Files --> 'open' call function,145,145,13,A2
tests,test_utils.py,Files --> 'read' call function,147,147,24,A2
tests,test_utils.py,Files --> 'write' call function,329,329,12,A2
tests,test_utils.py,Simple Atributte,412,412,15,A2
tests,test_utils.py,Simple Atributte,413,413,19,A2
tests,test_utils.py,Simple Atributte,416,416,1,A2
tests,test_utils.py,Simple Atributte,444,444,1,A2
tests,test_utils.py,Simple Atributte,464,464,1,A2
tests,test_utils.py,Simple Atributte,483,483,1,A2
tests,test_utils.py,Simple Atributte,510,510,1,A2
tests,test_utils.py,Simple Atributte,536,536,1,A2
tests,test_utils.py,Simple Atributte,547,547,1,A2
tests,test_utils.py,Simple Atributte,611,611,1,A2
tests,test_utils.py,Simple Atributte,626,626,1,A2
tests,test_utils.py,Simple Atributte,645,645,1,A2
tests,test_utils.py,Simple Atributte,668,668,1,A2
tests,test_utils.py,Simple Atributte,685,685,1,A2
tests,test_utils.py,Simple Atributte,697,697,1,A2
tests,test_utils.py,Simple Atributte,712,712,1,A2
tests,test_utils.py,Simple Atributte,742,742,1,A2
tests,test_utils.py,Simple Atributte,764,764,1,A2
tests,test_utils.py,Simple Atributte,781,781,1,A2
tests,test_utils.py,Simple Atributte,793,793,1,A2
tests,test_utils.py,Simple Atributte,815,815,1,A2
tests,test_utils.py,Simple Atributte,816,816,1,A2
tests,test_utils.py,Simple Atributte,868,868,1,A2
tests,test_utils.py,Simple Atributte,901,901,1,A2
tests,test_utils.py,Simple Atributte,929,929,1,A2
tests,test_utils.py,Simple Atributte,50,50,5,A2
tests,test_utils.py,Simple Atributte,71,71,5,A2
tests,test_utils.py,Simple Atributte,84,84,5,A2
tests,test_utils.py,Simple Atributte,100,100,5,A2
tests,test_utils.py,Simple Atributte,156,156,5,A2
tests,test_utils.py,Simple Atributte,174,174,5,A2
tests,test_utils.py,Simple Atributte,196,196,5,A2
tests,test_utils.py,Simple Atributte,202,202,5,A2
tests,test_utils.py,Simple Atributte,215,215,5,A2
tests,test_utils.py,Simple Atributte,226,226,5,A2
tests,test_utils.py,Simple Atributte,238,238,5,A2
tests,test_utils.py,Simple Atributte,260,260,5,A2
tests,test_utils.py,Simple Atributte,269,269,5,A2
tests,test_utils.py,Simple Atributte,292,292,5,A2
tests,test_utils.py,Simple Atributte,299,299,5,A2
tests,test_utils.py,Simple Atributte,314,314,5,A2
tests,test_utils.py,Simple Atributte,349,349,5,A2
tests,test_utils.py,Simple Atributte,377,377,5,A2
tests,test_utils.py,Simple Atributte,397,397,5,A2
tests,test_utils.py,Simple Atributte,416,416,1,A2
tests,test_utils.py,Simple Atributte,444,444,1,A2
tests,test_utils.py,Simple Atributte,464,464,1,A2
tests,test_utils.py,Simple Atributte,483,483,1,A2
tests,test_utils.py,Simple Atributte,510,510,1,A2
tests,test_utils.py,Simple Atributte,536,536,1,A2
tests,test_utils.py,Simple Atributte,547,547,1,A2
tests,test_utils.py,Simple Atributte,611,611,1,A2
tests,test_utils.py,Simple Atributte,626,626,1,A2
tests,test_utils.py,Simple Atributte,645,645,1,A2
tests,test_utils.py,Simple Atributte,668,668,1,A2
tests,test_utils.py,Simple Atributte,685,685,1,A2
tests,test_utils.py,Simple Atributte,697,697,1,A2
tests,test_utils.py,Simple Atributte,731,731,4,A2
tests,test_utils.py,Simple Atributte,735,735,4,A2
tests,test_utils.py,Simple Atributte,712,712,1,A2
tests,test_utils.py,Simple Atributte,742,742,1,A2
tests,test_utils.py,Simple Atributte,777,777,15,A2
tests,test_utils.py,Simple Atributte,777,777,28,A2
tests,test_utils.py,Simple Atributte,764,764,1,A2
tests,test_utils.py,Simple Atributte,781,781,1,A2
tests,test_utils.py,Simple Atributte,793,793,1,A2
tests,test_utils.py,Simple Atributte,858,858,4,A2
tests,test_utils.py,Simple Atributte,859,859,4,A2
tests,test_utils.py,Simple Atributte,860,860,4,A2
tests,test_utils.py,Simple Atributte,861,861,4,A2
tests,test_utils.py,Simple Atributte,862,862,4,A2
tests,test_utils.py,Simple Atributte,863,863,4,A2
tests,test_utils.py,Simple Atributte,864,864,4,A2
tests,test_utils.py,Simple Atributte,815,815,1,A2
tests,test_utils.py,Simple Atributte,815,815,20,A2
tests,test_utils.py,Simple Atributte,816,816,1,A2
tests,test_utils.py,Simple Atributte,892,892,4,A2
tests,test_utils.py,Simple Atributte,893,893,4,A2
tests,test_utils.py,Simple Atributte,894,894,4,A2
tests,test_utils.py,Simple Atributte,895,895,4,A2
tests,test_utils.py,Simple Atributte,896,896,4,A2
tests,test_utils.py,Simple Atributte,897,897,4,A2
tests,test_utils.py,Simple Atributte,868,868,1,A2
tests,test_utils.py,Simple Atributte,868,868,20,A2
tests,test_utils.py,Simple Atributte,912,912,19,A2
tests,test_utils.py,Simple Atributte,912,912,33,A2
tests,test_utils.py,Simple Atributte,916,916,11,A2
tests,test_utils.py,Simple Atributte,901,901,1,A2
tests,test_utils.py,Simple Atributte,954,954,4,A2
tests,test_utils.py,Simple Atributte,955,955,4,A2
tests,test_utils.py,Simple Atributte,956,956,4,A2
tests,test_utils.py,Simple Atributte,957,957,4,A2
tests,test_utils.py,Simple Atributte,929,929,1,A2
tests,test_utils.py,Simple Atributte,929,929,20,A2
tests,test_utils.py,Simple Atributte,50,50,5,A2
tests,test_utils.py,Simple Atributte,67,67,12,A2
tests,test_utils.py,Simple Atributte,68,68,8,A2
tests,test_utils.py,Simple Atributte,71,71,5,A2
tests,test_utils.py,Simple Atributte,84,84,5,A2
tests,test_utils.py,Simple Atributte,108,108,19,A2
tests,test_utils.py,Simple Atributte,109,109,8,A2
tests,test_utils.py,Simple Atributte,100,100,5,A2
tests,test_utils.py,Simple Atributte,115,115,19,A2
tests,test_utils.py,Simple Atributte,116,116,8,A2
tests,test_utils.py,Simple Atributte,139,139,14,A2
tests,test_utils.py,Simple Atributte,141,141,8,A2
tests,test_utils.py,Simple Atributte,156,156,5,A2
tests,test_utils.py,Simple Atributte,174,174,5,A2
tests,test_utils.py,Simple Atributte,198,198,8,A2
tests,test_utils.py,Simple Atributte,199,199,12,A2
tests,test_utils.py,Simple Atributte,202,202,5,A2
tests,test_utils.py,Simple Atributte,215,215,5,A2
tests,test_utils.py,Simple Atributte,226,226,5,A2
tests,test_utils.py,Simple Atributte,251,251,8,A2
tests,test_utils.py,Simple Atributte,238,238,5,A2
tests,test_utils.py,Simple Atributte,260,260,5,A2
tests,test_utils.py,Simple Atributte,269,269,5,A2
tests,test_utils.py,Simple Atributte,292,292,5,A2
tests,test_utils.py,Simple Atributte,299,299,5,A2
tests,test_utils.py,Simple Atributte,314,314,5,A2
tests,test_utils.py,Simple Atributte,319,319,12,A2
tests,test_utils.py,Simple Atributte,327,327,20,A2
tests,test_utils.py,Simple Atributte,331,331,18,A2
tests,test_utils.py,Simple Atributte,332,332,22,A2
tests,test_utils.py,Simple Atributte,332,332,35,A2
tests,test_utils.py,Simple Atributte,336,336,15,A2
tests,test_utils.py,Simple Atributte,337,337,15,A2
tests,test_utils.py,Simple Atributte,349,349,5,A2
tests,test_utils.py,Simple Atributte,368,372,18,A2
tests,test_utils.py,Simple Atributte,391,391,15,A2
tests,test_utils.py,Simple Atributte,377,377,5,A2
tests,test_utils.py,Simple Atributte,407,407,15,A2
tests,test_utils.py,Simple Atributte,397,397,5,A2
tests,test_utils.py,Simple Atributte,759,759,9,A2
tests,test_utils.py,Simple Atributte,761,761,8,A2
tests,test_utils.py,Simple Atributte,767,767,8,A2
tests,test_utils.py,Simple Atributte,922,922,9,A2
tests,test_utils.py,Simple Atributte,926,926,39,A2
tests,test_utils.py,Simple Atributte,53,53,13,A2
tests,test_utils.py,Simple Atributte,55,55,12,A2
tests,test_utils.py,Simple Atributte,110,110,13,A2
tests,test_utils.py,Simple Atributte,118,118,22,A2
tests,test_utils.py,Simple Atributte,119,119,13,A2
tests,test_utils.py,Simple Atributte,120,120,12,A2
tests,test_utils.py,Simple Atributte,122,122,13,A2
tests,test_utils.py,Simple Atributte,123,123,21,A2
tests,test_utils.py,Simple Atributte,134,134,16,A2
tests,test_utils.py,Simple Atributte,147,147,24,A2
tests,test_utils.py,Simple Atributte,169,169,13,A2
tests,test_utils.py,Simple Atributte,302,302,23,A2
tests,test_utils.py,Simple Atributte,303,303,39,A2
tests,test_utils.py,Simple Atributte,328,328,13,A2
tests,test_utils.py,Simple Atributte,328,328,29,A2
tests,test_utils.py,Simple Atributte,329,329,12,A2
tests,test_utils.py,Simple Atributte,331,331,18,A2
tests,test_utils.py,Simple Atributte,332,332,22,A2
tests,test_utils.py,Simple Atributte,332,332,54,A2
tests,test_utils.py,Simple Atributte,336,336,15,A2
tests,test_utils.py,Simple Atributte,767,767,8,A2
tests,test_utils.py,Simple Atributte,914,914,15,A2
tests,test_utils.py,Simple Atributte,303,303,13,A2
tests,test_utils.py,Simple Atributte,853,853,16,A2
tests,test_utils.py,Simple Atributte,914,914,15,A2
tests,test_utils.py,Simple Atributte,56,56,41,A2
tests,test_utils.py,Simple Atributte,56,56,41,A2
tests,test_utils.py,Simple Dictionary Comprehension,777,777,14,C1
tests,test_utils.py,Simple Assignment,411,411,0,A1
tests,test_utils.py,Simple Assignment,412,412,0,A1
tests,test_utils.py,Simple Assignment,413,413,0,A1
tests,test_utils.py,Simple Assignment,495,498,0,A1
tests,test_utils.py,Simple Assignment,499,502,0,A1
tests,test_utils.py,Simple Assignment,503,507,0,A1
tests,test_utils.py,Simple Assignment,775,775,4,A1
tests,test_utils.py,Simple Assignment,776,776,4,A1
tests,test_utils.py,Simple Assignment,777,777,4,A1
tests,test_utils.py,Simple Assignment,810,810,4,A1
tests,test_utils.py,Simple Assignment,843,843,4,A1
tests,test_utils.py,Simple Assignment,844,844,4,A1
tests,test_utils.py,Simple Assignment,879,879,4,A1
tests,test_utils.py,Simple Assignment,912,912,4,A1
tests,test_utils.py,Simple Assignment,940,940,4,A1
tests,test_utils.py,Simple Assignment,67,67,8,A1
tests,test_utils.py,Simple Assignment,108,108,8,A1
tests,test_utils.py,Simple Assignment,115,115,8,A1
tests,test_utils.py,Simple Assignment,118,118,8,A1
tests,test_utils.py,Simple Assignment,127,127,8,A1
tests,test_utils.py,Simple Assignment,128,128,8,A1
tests,test_utils.py,Simple Assignment,139,139,8,A1
tests,test_utils.py,Simple Assignment,235,235,8,A1
tests,test_utils.py,Simple Assignment,252,252,8,A1
tests,test_utils.py,Simple Assignment,307,307,8,A1
tests,test_utils.py,Simple Assignment,308,308,8,A1
tests,test_utils.py,Simple Assignment,327,327,8,A1
tests,test_utils.py,Simple Assignment,331,331,8,A1
tests,test_utils.py,Simple Assignment,332,332,8,A1
tests,test_utils.py,Simple Assignment,333,333,8,A1
tests,test_utils.py,Simple Assignment,340,340,8,A1
tests,test_utils.py,Simple Assignment,346,346,8,A1
tests,test_utils.py,Simple Assignment,363,363,8,A1
tests,test_utils.py,Simple Assignment,368,372,8,A1
tests,test_utils.py,Simple Assignment,391,391,8,A1
tests,test_utils.py,Simple Assignment,407,407,8,A1
tests,test_utils.py,Simple Assignment,836,836,8,A1
tests,test_utils.py,Simple Assignment,123,123,12,A1
tests,test_utils.py,Simple Assignment,146,146,12,A1
tests,test_utils.py,Simple Assignment,147,147,12,A1
tests,test_utils.py,Simple Assignment,134,134,16,A1
tests,test_utils.py,'raise' exception,924,924,12,B1
tests,test_utils.py,'raise' exception,80,80,16,B1
tests,test_utils.py,'raise' exception,90,90,16,B1
tests,test_utils.py,'assert' exception,441,441,4,B2
tests,test_utils.py,'assert' exception,461,461,4,B2
tests,test_utils.py,'assert' exception,480,480,4,B2
tests,test_utils.py,'assert' exception,492,492,4,B2
tests,test_utils.py,'assert' exception,533,533,4,B2
tests,test_utils.py,'assert' exception,544,544,4,B2
tests,test_utils.py,'assert' exception,608,608,4,B2
tests,test_utils.py,'assert' exception,623,623,4,B2
tests,test_utils.py,'assert' exception,665,665,4,B2
tests,test_utils.py,'assert' exception,682,682,4,B2
tests,test_utils.py,'assert' exception,694,694,4,B2
tests,test_utils.py,'assert' exception,709,709,4,B2
tests,test_utils.py,'assert' exception,739,739,4,B2
tests,test_utils.py,'assert' exception,778,778,4,B2
tests,test_utils.py,'assert' exception,790,790,4,B2
tests,test_utils.py,'assert' exception,812,812,4,B2
tests,test_utils.py,'assert' exception,865,865,4,B2
tests,test_utils.py,'assert' exception,898,898,4,B2
tests,test_utils.py,'assert' exception,916,916,4,B2
tests,test_utils.py,'assert' exception,926,926,4,B2
tests,test_utils.py,'assert' exception,958,958,4,B2
tests,test_utils.py,'assert' exception,62,62,8,B2
tests,test_utils.py,'assert' exception,63,63,8,B2
tests,test_utils.py,'assert' exception,69,69,8,B2
tests,test_utils.py,'assert' exception,82,82,8,B2
tests,test_utils.py,'assert' exception,95,95,8,B2
tests,test_utils.py,'assert' exception,98,98,8,B2
tests,test_utils.py,'assert' exception,112,112,8,B2
tests,test_utils.py,'assert' exception,129,129,8,B2
tests,test_utils.py,'assert' exception,136,136,8,B2
tests,test_utils.py,'assert' exception,140,140,8,B2
tests,test_utils.py,'assert' exception,142,142,8,B2
tests,test_utils.py,'assert' exception,148,148,8,B2
tests,test_utils.py,'assert' exception,152,152,8,B2
tests,test_utils.py,'assert' exception,166,166,8,B2
tests,test_utils.py,'assert' exception,185,185,8,B2
tests,test_utils.py,'assert' exception,188,188,8,B2
tests,test_utils.py,'assert' exception,213,213,8,B2
tests,test_utils.py,'assert' exception,224,224,8,B2
tests,test_utils.py,'assert' exception,236,236,8,B2
tests,test_utils.py,'assert' exception,253,253,8,B2
tests,test_utils.py,'assert' exception,258,258,8,B2
tests,test_utils.py,'assert' exception,262,262,8,B2
tests,test_utils.py,'assert' exception,267,267,8,B2
tests,test_utils.py,'assert' exception,280,280,8,B2
tests,test_utils.py,'assert' exception,285,285,8,B2
tests,test_utils.py,'assert' exception,288,288,8,B2
tests,test_utils.py,'assert' exception,297,297,8,B2
tests,test_utils.py,'assert' exception,309,309,8,B2
tests,test_utils.py,'assert' exception,310,310,8,B2
tests,test_utils.py,'assert' exception,324,324,8,B2
tests,test_utils.py,'assert' exception,335,335,8,B2
tests,test_utils.py,'assert' exception,336,336,8,B2
tests,test_utils.py,'assert' exception,337,337,8,B2
tests,test_utils.py,'assert' exception,341,341,8,B2
tests,test_utils.py,'assert' exception,347,347,8,B2
