,Class,Replaced Element,Replaced Level,Same Result/ Can Replaced,
7172,Generator Expression,Simple List,1,TRUE,error
7172,Generator Expression,Simple Atributte,2,TRUE,
7172,Generator Expression,Simple Assignment,1,TRUE,
7172,Generator Expression,Simple For Loop,1,TRUE,
8041,Generator Expression,Simple List,1,TRUE,
8041,Generator Expression,Simple Tuple,1,TRUE,
8041,Generator Expression,Simple Atributte,2,TRUE,
8041,Generator Expression,Simple Assignment,1,TRUE,
8041,Generator Expression,For Loop with Tuple as name,2,TRUE,
8041,Generator Expression,Return,1,TRUE,
8042,Generator Expression,Simple List,1,TRUE,
8042,Generator Expression,Simple Tuple,1,TRUE,
8042,Generator Expression,Simple Atributte,2,TRUE,
8042,Generator Expression,Simple Assignment,1,TRUE,
8042,Generator Expression,For Loop with Tuple as name,2,TRUE,
8042,Generator Expression,Return,1,TRUE,
8015,Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
7513,Generator Expression,Simple List,1,FALSE,different types
7513,Generator Expression,Simple Atributte,2,FALSE,
7513,Generator Expression,Simple Assignment,1,FALSE,
7513,Generator Expression,Simple For Loop,1,FALSE,
7514,Generator Expression,Simple List,1,FALSE,different types
7514,Generator Expression,Simple Atributte,2,FALSE,
7514,Generator Expression,Simple Assignment,1,FALSE,
7514,Generator Expression,Simple If statements,1,FALSE,
7514,Generator Expression,Simple For Loop,1,FALSE,
7955,Generator Function (yield),Return,1,FALSE,
7956,Generator Function (yield),Return,1,FALSE,
7957,Generator Function (yield),Return,1,FALSE,
7958,Generator Function (yield),Return,1,FALSE,
7959,Generator Function (yield),Return,1,FALSE,
7679,Import're' module,,,FALSE,
7681,Import'struct' module,,,FALSE,
7515,Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
7515,Simple Dictionary Comprehension,Simple Atributte,2,TRUE,
7515,Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
7515,Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
724,Generator Function (yield),Simple List,1,FALSE,
724,Generator Function (yield),Simple Tuple,1,FALSE,
724,Generator Function (yield),Simple Atributte,2,FALSE,
724,Generator Function (yield),For Loop with 1 List to iterate,2,FALSE,
724,Generator Function (yield),Generator Function (yield),5,FALSE,
4714,Simple List Comprehension,Simple List,1,TRUE,
4714,Simple List Comprehension,Simple Tuple,1,TRUE,
4714,Simple List Comprehension,Simple Atributte,2,TRUE,
4714,Simple List Comprehension,Simple Assignment,1,TRUE,
4714,Simple List Comprehension,Simplified incremental Assignment with increase amount,2,TRUE,
4714,Simple List Comprehension,For Loop with Tuple as name,2,TRUE,
2931,Generator Expression,Simple List,1,FALSE,different types
2931,Generator Expression,Simple Atributte,2,FALSE,
2931,Generator Expression,Simple Assignment,1,FALSE,
2931,Generator Expression,For Loop with 1 List to iterate,2,FALSE,
2932,Generator Expression,Simple List,1,TRUE,
2932,Generator Expression,Simple Atributte,2,TRUE,
2932,Generator Expression,Simple Assignment,1,TRUE,
2932,Generator Expression,Simple For Loop,1,TRUE,
2933,Generator Expression,Simple Assignment,1,TRUE,
2933,Generator Expression,assert' exception,4,TRUE,
2933,Generator Expression,Simple If statements,1,TRUE,
2933,Generator Expression,Simple For Loop,1,TRUE,
2933,Generator Expression,break' statement,3,TRUE,
2934,Generator Expression,Simple Assignment,1,TRUE,
2934,Generator Expression,assert' exception,4,TRUE,
2934,Generator Expression,Simple If statements,1,TRUE,
2934,Generator Expression,Simple For Loop,1,TRUE,
2934,Generator Expression,break' statement,3,TRUE,
2935,Generator Expression,Simple Assignment,1,TRUE,
2935,Generator Expression,assert' exception,4,TRUE,
2935,Generator Expression,Simple If statements,1,TRUE,
2935,Generator Expression,Simple For Loop,1,TRUE,
2935,Generator Expression,break' statement,3,TRUE,
2936,Generator Expression,Simple List,1,TRUE,
2936,Generator Expression,Simple Tuple,1,TRUE,
2936,Generator Expression,Simple Atributte,2,TRUE,
2936,Generator Expression,Simple Assignment,1,TRUE,
2936,Generator Expression,For Loop with Tuple as name,2,TRUE,
2937,Generator Expression,Simple List,1,TRUE,different types
2937,Generator Expression,range' call function,2,TRUE,
2937,Generator Expression,Simple Atributte,2,TRUE,
2937,Generator Expression,Simple Assignment,1,TRUE,
2937,Generator Expression,Simple For Loop,1,TRUE,
2938,Generator Expression,Simple List,1,TRUE,
2938,Generator Expression,Simple Atributte,2,TRUE,
2938,Generator Expression,Simple Assignment,1,TRUE,
2938,Generator Expression,assert' exception,4,TRUE,
2938,Generator Expression,Simple For Loop,1,TRUE,
2939,Generator Expression,Simple List,1,TRUE,
2939,Generator Expression,Simple Atributte,2,TRUE,
2939,Generator Expression,Simple Assignment,1,TRUE,
2939,Generator Expression,assert' exception,4,TRUE,
2939,Generator Expression,Simple For Loop,1,TRUE,
4048,Import'pickle' module,,,FALSE,
4049,Import're' module,,,FALSE,
2928,Simple List Comprehension,Simple List,1,TRUE,
2928,Simple List Comprehension,Simple Atributte,2,TRUE,
2928,Simple List Comprehension,Simple Assignment,1,TRUE,
2928,Simple List Comprehension,Simple For Loop,1,TRUE,
2929,Simple List Comprehension,Simple List,1,TRUE,
2929,Simple List Comprehension,Simple Atributte,2,TRUE,
2929,Simple List Comprehension,Simple Assignment,1,TRUE,
2929,Simple List Comprehension,Simple For Loop,1,TRUE,
414,Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
414,Simple Dictionary Comprehension,Simple Atributte,2,TRUE,
414,Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
414,Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
4514,Generator Function (yield),pass' statement,3,FALSE,
823,Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
824,Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
