Class,Replaced Element,Replaced Level,Same Result/ Can Replaced,Note
Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
Simple Dictionary Comprehension,Return,1,TRUE,
Generator Expression,Simple List,1,TRUE,
Generator Expression,Simple Atributte,2,TRUE,
Generator Expression,Simple Assignment,1,TRUE,
Generator Expression,Simple If statements,1,TRUE,
Generator Expression,Simple For Loop,1,TRUE,
Generator Function (yield),Simple For Loop,1,FALSE,
Generator Function (yield),Generator Function (yield),5,FALSE,
Generator Function (yield),Simple For Loop,1,FALSE,
Generator Function (yield),Generator Function (yield),5,FALSE,
Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
Simple Dictionary Comprehension,Simple Atributte,2,TRUE,
Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
Simple Dictionary Comprehension,Return,1,TRUE,
Generator Function (yield),Return,1,FALSE,
Generator Function (yield),Return,1,FALSE,
List Comprehension with 1If statements,Simple List,1,TRUE,
List Comprehension with 1If statements,Simple Tuple,1,TRUE,
List Comprehension with 1If statements,Simple Atributte,2,TRUE,
List Comprehension with 1If statements,Simple Assignment,1,TRUE,
List Comprehension with 1If statements,Simple If statements,1,TRUE,
List Comprehension with 1If statements,For Loop with Tuple as name,2,TRUE,
List Comprehension with 1If statements,Simple List,1,TRUE,
List Comprehension with 1If statements,Simple Atributte,2,TRUE,
List Comprehension with 1If statements,Simple Assignment,1,TRUE,
List Comprehension with 1If statements,Simple If statements,1,TRUE,
List Comprehension with 1If statements,Simple For Loop,1,TRUE,
Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
Simple Dictionary Comprehension,Simple Atributte,2,TRUE,
Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
Simple List Comprehension,Simple List,1,TRUE,
Simple List Comprehension,Simple Atributte,2,TRUE,
Simple List Comprehension,Simple Assignment,1,TRUE,
Simple List Comprehension,Simple For Loop,1,TRUE,
Generator Expression,Simple List,1,TRUE,
Generator Expression,Simple Atributte,2,TRUE,
Generator Expression,Simple Assignment,1,TRUE,
Generator Expression,Simple For Loop,1,TRUE,
Generator Expression,Simple List,1,TRUE,error
Generator Expression,Simple Atributte,2,TRUE,error
Generator Expression,Simple Assignment,1,TRUE,error
Generator Expression,Simple For Loop,1,TRUE,error
Generator Expression,Simple List,1,TRUE,
Generator Expression,Simple Tuple,1,TRUE,
Generator Expression,Simple Atributte,2,TRUE,
Generator Expression,Simple Assignment,1,TRUE,
Generator Expression,For Loop with Tuple as name,2,TRUE,
Generator Expression,Return,1,TRUE,
Generator Expression,Simple List,1,TRUE,
Generator Expression,Simple Tuple,1,TRUE,
Generator Expression,Simple Atributte,2,TRUE,
Generator Expression,Simple Assignment,1,TRUE,
Generator Expression,For Loop with Tuple as name,2,TRUE,
Generator Expression,Return,1,TRUE,
Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
Generator Expression,Simple List,1,FALSE,different types
Generator Expression,Simple Atributte,2,FALSE,different types
Generator Expression,Simple Assignment,1,FALSE,different types
Generator Expression,Simple For Loop,1,FALSE,different types
Generator Expression,Simple List,1,FALSE,different types
Generator Expression,Simple Atributte,2,FALSE,different types
Generator Expression,Simple Assignment,1,FALSE,different types
Generator Expression,Simple If statements,1,FALSE,different types
Generator Expression,Simple For Loop,1,FALSE,different types
Generator Function (yield),Return,1,FALSE,
Generator Function (yield),Return,1,FALSE,
Generator Function (yield),Return,1,FALSE,
Generator Function (yield),Return,1,FALSE,
Generator Function (yield),Return,1,FALSE,
Import're' module,,,FALSE,
Import'struct' module,,,FALSE,
Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
Simple Dictionary Comprehension,Simple Atributte,2,TRUE,
Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
Generator Function (yield),Simple List,1,FALSE,
Generator Function (yield),Simple Tuple,1,FALSE,
Generator Function (yield),Simple Atributte,2,FALSE,
Generator Function (yield),For Loop with 1 List to iterate,2,FALSE,
Generator Function (yield),Generator Function (yield),5,FALSE,
Simple List Comprehension,Simple List,1,TRUE,
Simple List Comprehension,Simple Tuple,1,TRUE,
Simple List Comprehension,Simple Atributte,2,TRUE,
Simple List Comprehension,Simple Assignment,1,TRUE,
Simple List Comprehension,Simplified incremental Assignment with increase amount,2,TRUE,
Simple List Comprehension,For Loop with Tuple as name,2,TRUE,
Generator Expression,Simple List,1,FALSE,different types
Generator Expression,Simple Atributte,2,FALSE,different types
Generator Expression,Simple Assignment,1,FALSE,different types
Generator Expression,For Loop with 1 List to iterate,2,FALSE,different types
Generator Expression,Simple List,1,TRUE,
Generator Expression,Simple Atributte,2,TRUE,
Generator Expression,Simple Assignment,1,TRUE,
Generator Expression,Simple For Loop,1,TRUE,
Generator Expression,assert' exception,4,FALSE,
Generator Expression,Simple For Loop,1,FALSE,
Generator Expression,assert' exception,4,FALSE,
Generator Expression,Simple For Loop,1,FALSE,
Generator Expression,assert' exception,4,FALSE,
Generator Expression,Simple For Loop,1,FALSE,
Generator Expression,Simple List,1,TRUE,
Generator Expression,Simple Tuple,1,TRUE,
Generator Expression,Simple Atributte,2,TRUE,
Generator Expression,Simple Assignment,1,TRUE,
Generator Expression,For Loop with Tuple as name,2,TRUE,
Generator Expression,Simple List,1,TRUE,different types
Generator Expression,range' call function,2,TRUE,different types
Generator Expression,Simple Atributte,2,TRUE,different types
Generator Expression,Simple Assignment,1,TRUE,different types
Generator Expression,Simple For Loop,1,TRUE,different types
Generator Expression,Simple List,1,TRUE,
Generator Expression,Simple Atributte,2,TRUE,
Generator Expression,Simple Assignment,1,TRUE,
Generator Expression,assert' exception,4,TRUE,
Generator Expression,Simple For Loop,1,TRUE,
Generator Expression,Simple List,1,TRUE,
Generator Expression,Simple Atributte,2,TRUE,
Generator Expression,Simple Assignment,1,TRUE,
Generator Expression,assert' exception,4,TRUE,
Generator Expression,Simple For Loop,1,TRUE,
Import'pickle' module,,,FALSE,
Import're' module,,,FALSE,
List Comprehension with 1If statements,,,FALSE,
Simple List Comprehension,Simple List,1,TRUE,
Simple List Comprehension,Simple Atributte,2,TRUE,
Simple List Comprehension,Simple Assignment,1,TRUE,
Simple List Comprehension,Simple For Loop,1,TRUE,
Simple List Comprehension,Simple List,1,TRUE,
Simple List Comprehension,Simple Atributte,2,TRUE,
Simple List Comprehension,Simple Assignment,1,TRUE,
Simple List Comprehension,Simple For Loop,1,TRUE,
Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
Simple Dictionary Comprehension,Simple Atributte,2,TRUE,
Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
Generator Function (yield),pass' statement,3,FALSE,
Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
